"year","variable_rename","model","scenario","value","alpha","axe"
2030,"Wind","USREP-ReEDS","No IRA",629.898540484111,1,1
2030,"Wind","USREP-ReEDS","IRA",1289.74678324567,1,1
2030,"Wind","EPS-EI","No IRA",695.48492986,1,1
2030,"Wind","EPS-EI","IRA",1514.84561368,1,1
2030,"Wind","GCAM-CGS","No IRA",546.372969649435,1,1
2030,"Wind","GCAM-CGS","IRA",1072.80905606095,1,1
2030,"Wind","GCAM-PNNL","No IRA",1159.39003133333,1,1
2030,"Wind","GCAM-PNNL","IRA",1556.03110768039,1,1
2030,"Wind","Haiku-RFF","No IRA",793.896432313923,1,1
2030,"Wind","Haiku-RFF","IRA",1093.49633902803,1,1
2030,"Wind","IPM-NRDC","No IRA",725.824869839914,1,1
2030,"Wind","IPM-NRDC","IRA",843.851087295379,1,1
2030,"Wind","IPM-EPA","No IRA",675.165732302983,1,1
2030,"Wind","IPM-EPA","IRA",800.035279574943,1,1
2030,"Wind","MARKAL-NETL","No IRA",616.16264015194,1,1
2030,"Wind","MARKAL-NETL","IRA",570.726124913868,1,1
2030,"Wind","NEMS-RHG","No IRA",738.90066229,1,1
2030,"Wind","NEMS-RHG","IRA",1168.382546058,1,1
2030,"Wind","NEMS-OP","No IRA",640.1868354504,1,1
2030,"Wind","NEMS-OP","IRA",920.017034342,1,1
2030,"Wind","REGEN-EPRI","No IRA",597.984314124031,1,1
2030,"Wind","REGEN-EPRI","IRA",594.689511835769,1,1
2030,"Wind","RIO-REPEAT","No IRA",1037.841,1,1
2030,"Wind","RIO-REPEAT","IRA",1646.3286,1,1
2030,"Wind","ReEDS-NREL","No IRA",650.317571788619,1,1
2030,"Wind","ReEDS-NREL","IRA",1207.40155816103,1,1
2030,"Wind","NEMS-EIA","No IRA",565.7115302076,1,1
2030,"Wind","NEMS-EIA","IRA",927.3682109496,1,1
2035,"Wind","USREP-ReEDS","No IRA",711.784695348611,1,2
2035,"Wind","USREP-ReEDS","IRA",1550.03935092417,1,2
2035,"Wind","EPS-EI","No IRA",844.14366344,1,2
2035,"Wind","EPS-EI","IRA",2443.39892342,1,2
2035,"Wind","GCAM-CGS","No IRA",585.683659351015,1,2
2035,"Wind","GCAM-CGS","IRA",1185.39293144159,1,2
2035,"Wind","GCAM-PNNL","No IRA",1517.45307466667,1,2
2035,"Wind","GCAM-PNNL","IRA",1946.92783861372,1,2
2035,"Wind","Haiku-RFF","No IRA",885.244926562083,1,2
2035,"Wind","Haiku-RFF","IRA",1240.40377228391,1,2
2035,"Wind","IPM-NRDC","No IRA",939.918360732944,1,2
2035,"Wind","IPM-NRDC","IRA",1296.81860237165,1,2
2035,"Wind","IPM-EPA","No IRA",871.465308368805,1,2
2035,"Wind","IPM-EPA","IRA",1421.98359543682,1,2
2035,"Wind","MARKAL-NETL","No IRA",632.046201192112,1,2
2035,"Wind","MARKAL-NETL","IRA",570.726124913868,1,2
2035,"Wind","NEMS-RHG","No IRA",775.5356657594,1,2
2035,"Wind","NEMS-RHG","IRA",1405.8850916586,1,2
2035,"Wind","NEMS-OP","No IRA",734.0894380344,1,2
2035,"Wind","NEMS-OP","IRA",1174.8114052164,1,2
2035,"Wind","REGEN-EPRI","No IRA",610.383857291331,1,2
2035,"Wind","REGEN-EPRI","IRA",1296.60028930987,1,2
2035,"Wind","RIO-REPEAT","No IRA",1321.2332,1,2
2035,"Wind","RIO-REPEAT","IRA",2247.2338,1,2
2035,"Wind","ReEDS-NREL","No IRA",787.917065698425,1,2
2035,"Wind","ReEDS-NREL","IRA",1492.5723068105,1,2
2035,"Wind","NEMS-EIA","No IRA",636.87520519,1,2
2035,"Wind","NEMS-EIA","IRA",1075.7900229636,1,2
