"model","year","variable_rename","alpha","No IRA","IRA","abs_dif","axe","scenario"
"USREP-ReEDS",2030,"Total_Low",1,2174.29772161702,2993.78080012524,819.483078508217,1,"IRA"
"EPS-EI",2030,"Total_Low",1,2130.04534372,3559.6321031516,1429.5867594316,1,"IRA"
"GCAM-CGS",2030,"Total_Low",1,2149.60472289506,3352.79362902031,1203.18890612524,1,"IRA"
"GCAM-PNNL",2030,"Total_Low",1,2888.56912030556,3734.73338695501,846.164266649449,1,"IRA"
"Haiku-RFF",2030,"Total_Low",1,2164.92781581099,2747.05914275625,582.131326945262,1,"IRA"
"IPM-NRDC",2030,"Total_Low",1,1837.33779782309,2267.8699893788,430.53219155571,1,"IRA"
"IPM-EPA",2030,"Total_Low",1,2014.73847536807,2355.22657935679,340.48810398872,1,"IRA"
"MARKAL-NETL",2030,"Total_Low",1,2133.15461263344,2268.18199454414,135.027381910708,1,"IRA"
"NEMS-RHG",2030,"Total_Low",1,2331.2052537172,3105.803827721,774.5985740038,1,"IRA"
"NEMS-OP",2030,"Total_Low",1,2345.2192747648,3112.38596139695,767.166686632151,1,"IRA"
"REGEN-EPRI",2030,"Total_Low",1,2081.07200060136,2286.42341031496,205.351409713594,1,"IRA"
"RIO-REPEAT",2030,"Total_Low",1,2791.271,3583.6318,792.3608,1,"IRA"
"ReEDS-NREL",2030,"Total_Low",1,2137.62207060211,3393.83268321759,1256.21061261547,1,"IRA"
"NEMS-EIA",2030,"Total_Low",1,2176.4560710732,2858.19946565839,681.74339458519,1,"IRA"
"USREP-ReEDS",2035,"Total_Low",1,2308.87802255319,3323.01947813019,1014.14145557699,2,"IRA"
"EPS-EI",2035,"Total_Low",1,2414.2100955,4339.710256798,1925.500161298,2,"IRA"
"GCAM-CGS",2035,"Total_Low",1,2298.75128139121,3759.60543626911,1460.85415487789,2,"IRA"
"GCAM-PNNL",2035,"Total_Low",1,3486.96896897222,4479.12318818778,992.154219215562,2,"IRA"
"Haiku-RFF",2035,"Total_Low",1,2286.84102454342,2857.27770717866,570.436682635238,2,"IRA"
"IPM-NRDC",2035,"Total_Low",1,1858.86661416088,2443.98446645772,585.117852296834,2,"IRA"
"IPM-EPA",2035,"Total_Low",1,2293.40912091051,3237.34662444383,943.937503533316,2,"IRA"
"MARKAL-NETL",2035,"Total_Low",1,2169.55279452974,3380.71052456626,1211.15773003652,2,"IRA"
"NEMS-RHG",2035,"Total_Low",1,2604.4176400424,3164.295702939,559.8780628966,2,"IRA"
"NEMS-OP",2035,"Total_Low",1,2663.9826475934,3843.55788434699,1179.57523675359,2,"IRA"
"REGEN-EPRI",2035,"Total_Low",1,2162.26429024418,3325.21670114422,1162.95241090004,2,"IRA"
"RIO-REPEAT",2035,"Total_Low",1,3573.206,5263.1334,1689.9274,2,"IRA"
"ReEDS-NREL",2035,"Total_Low",1,2356.90161219021,3947.80472238667,1590.90311019645,2,"IRA"
"NEMS-EIA",2035,"Total_Low",1,2458.455740566,3170.11325737711,711.657516811108,2,"IRA"
