"year","variable_rename","model","alpha","No IRA","IRA","abs_dif","axe","scenario"
2030,"Other","USREP-ReEDS",1,313.021504279556,307.536599106722,-5.48490517283335,1,"IRA"
2030,"Other","EPS-EI",1,267.7648736,267.7648736,0,1,"IRA"
2030,"Other","GCAM-CGS",1,284.638161817633,280.722094171675,-3.91606764595826,1,"IRA"
2030,"Other","GCAM-PNNL",1,362.590236361111,376.431038744444,13.8408023833333,1,"IRA"
2030,"Other","Haiku-RFF",1,277.000094404376,277.000094404376,0,1,"IRA"
2030,"Other","IPM-NRDC",1,296.816951803708,302.873815804789,6.05686400108107,1,"IRA"
2030,"Other","IPM-EPA",1,289.013149857693,286.948658589316,-2.06449126837663,1,"IRA"
2030,"Other","MARKAL-NETL",1,271.537018896108,271.537018896108,0,1,"IRA"
2030,"Other","NEMS-RHG",1,281.191763825,270.228082586,-10.963681239,1,"IRA"
2030,"Other","NEMS-OP",1,347.1090994756,344.703382142,-2.40571733359997,1,"IRA"
2030,"Other","REGEN-EPRI",1,245.054609052218,262.94660074026,17.8919916880413,1,"IRA"
2030,"Other","RIO-REPEAT",1,288.1312,281.4966,-6.63460000000009,1,"IRA"
2030,"Other","ReEDS-NREL",1,286.543837831459,287.001139758021,0.457301926561627,1,"IRA"
2030,"Other","NEMS-EIA",1,353.506591193,343.7331316034,-9.77345958960001,1,"IRA"
2035,"Other","USREP-ReEDS",1,312.847411322444,307.440788110944,-5.4066232115,2,"IRA"
2035,"Other","EPS-EI",1,267.7136924,266.0076524,-1.70604000000003,2,"IRA"
2035,"Other","GCAM-CGS",1,278.806075342426,273.776682606666,-5.02939273575976,2,"IRA"
2035,"Other","GCAM-PNNL",1,404.434500594444,415.060707638889,10.6262070444444,2,"IRA"
2035,"Other","Haiku-RFF",1,276.497165804044,276.497165804044,0,2,"IRA"
2035,"Other","IPM-NRDC",1,294.432241537753,299.595595963745,5.16335442599234,2,"IRA"
2035,"Other","IPM-EPA",1,307.572488836196,311.497643537596,3.92515470140023,2,"IRA"
2035,"Other","MARKAL-NETL",1,271.537018896108,271.537018896108,0,2,"IRA"
2035,"Other","NEMS-RHG",1,277.8991947704,245.9936687544,-31.905526016,2,"IRA"
2035,"Other","NEMS-OP",1,343.655944667,340.9872592756,-2.6686853914,2,"IRA"
2035,"Other","REGEN-EPRI",1,261.773192991379,289.950335152433,28.1771421610549,2,"IRA"
2035,"Other","RIO-REPEAT",1,283.3922,258.7494,-24.6428,2,"IRA"
2035,"Other","ReEDS-NREL",1,287.802392091387,286.27232412058,-1.53006797080695,2,"IRA"
2035,"Other","NEMS-EIA",1,358.5410754254,343.381750866,-15.1593245593999,2,"IRA"
