"sector","year","coreMin","coreMed","coreMax","allMin","allMed","allMax","diffMin","diffMed","diffMax"
"Buildings",2030,49.1789455032217,54.6539235555245,63.170084596882,49.1789455032217,57.2228637298076,70.7965180712695,0,2.56894017428306,7.62643347438755
"Buildings",2035,52.0178848106904,65.7445264671939,70.3259907260579,52.0178848106904,66.154020320345,77.3882148908686,0,0.409493853151091,7.0622241648107
"Economy-Wide",2030,34.6482484695863,39.4634578802552,43.0271284928508,34.6482484695863,40.8489394337389,46.2749439809225,0,1.38548155348372,3.24781548807167
"Economy-Wide",2035,36.3248740444119,46.3873863738212,54.9426382359247,36.3248740444119,47.4007399824838,57.8290490329719,0,1.01335360866261,2.88641079704717
"Electricity",2030,48.6408899629182,68.5573187783842,82.77098767671,48.6408899629182,71.8674128726719,91.0517567782691,0,3.31009409428766,8.28076910155902
"Electricity",2035,67.3193541551636,77.3223384638485,86.5262370309475,60.3810645206503,79.40270365514,92.2555699763691,-6.93828963451332,2.08036519129146,5.72933294542167
"Industry",2030,17.1667689638769,36.1173206808723,42.5860814730994,17.1667689638769,37.7938231948207,44.043108044258,0,1.67650251394846,1.4570265711586
"Industry",2035,22.9874196826221,35.7844675313824,56.6446775475179,22.9874196826221,40.813577110392,58.4517373593025,0,5.02910957900966,1.80705981178456
"Transportation",2030,11.068806311383,17.4114741007342,25.0292104529113,11.068806311383,16.657604196855,25.1001813368259,0,-0.753869903879121,0.0709708839146792
"Transportation",2035,14.5186995652874,26.6793887268333,35.3334421301392,14.5186995652874,27.889467323366,40.5003846560826,0,1.21007859653263,5.16694252594333
