"sector","year","IRA Min","IRA Median","IRA Max","No IRA Min","No IRA Median","No IRA Max"
"Buildings",2030,49.1789455032217,60.141431064588,88.3732739420935,34.1066253385285,41.7697263683156,47.4119872677669
"Buildings",2035,52.0178848106904,67.7793951229782,88.8748329621381,36.3492454471254,44.865101403118,50.7981331716845
"Economy-Wide",2030,32.9724859968186,40.8116957975394,46.2749439809225,26.3617642892433,30.7012090181245,33.2434335414114
"Economy-Wide",2035,36.3248740444119,47.3502981839458,57.8290490329719,28.926892927927,33.275817786043,39.4995251014408
"Electricity",2030,42.8148827132203,71.850959884109,91.0517567782691,42.5194783550685,50.4478980042498,59.1850934525819
"Electricity",2035,60.3810645206503,79.1659714326082,92.2555699763691,40.4170659555852,52.800486887749,67.7096787633849
"Industry",2030,17.1667689638769,36.6499706988054,53.8781425241006,5.59723035391041,25.4076454958361,32.6172169168198
"Industry",2035,22.9874196826221,37.7085073115177,62.5732468023439,3.38796455103415,27.5236718608929,35.701088133111
"Transportation",2030,11.068806311383,19.0362611781162,27.5464616451892,8.69286717114796,15.2894627167106,21.5276604937686
"Transportation",2035,14.5186995652874,29.0488206407986,43.8630386947888,13.3036305479526,22.8111858351004,28.1413402533926
