"year","variable_rename","model","scenario","value","alpha","axe"
2030,"Coal","USREP-ReEDS","No IRA",568.682194946833,1,1
2030,"Coal","USREP-ReEDS","IRA",253.728906032778,1,1
2030,"Coal","EPS-EI","No IRA",411.6968338,1,1
2030,"Coal","EPS-EI","IRA",178.769620305111,1,1
2030,"Coal","GCAM-CGS","No IRA",698.867863430333,1,1
2030,"Coal","GCAM-CGS","IRA",207.989475511222,1,1
2030,"Coal","GCAM-PNNL","No IRA",452.911495555556,1,1
2030,"Coal","GCAM-PNNL","IRA",207.462888888889,1,1
2030,"Coal","Haiku-RFF","No IRA",827.530103486722,1,1
2030,"Coal","Haiku-RFF","IRA",532.937344912389,1,1
2030,"Coal","IPM-NRDC","No IRA",342.875199419278,1,1
2030,"Coal","IPM-NRDC","IRA",187.9528652995,1,1
2030,"Coal","IPM-EPA","No IRA",525.157043745833,1,1
2030,"Coal","IPM-EPA","IRA",230.114115450722,1,1
2030,"Coal","MARKAL-NETL","No IRA",634.694777862833,1,1
2030,"Coal","MARKAL-NETL","IRA",487.912033774278,1,1
2030,"Coal","NEMS-RHG","No IRA",459.880959350944,1,1
2030,"Coal","NEMS-RHG","IRA",130.405961425056,1,1
2030,"Coal","NEMS-OP","No IRA",511.137479174,1,1
2030,"Coal","NEMS-OP","IRA",280.042654828737,1,1
2030,"Coal","REGEN-EPRI","No IRA",633.371785704,1,1
2030,"Coal","REGEN-EPRI","IRA",440.402948233111,1,1
2030,"Coal","RIO-REPEAT","No IRA",619.8612,1,1
2030,"Coal","RIO-REPEAT","IRA",454.944,1,1
2030,"Coal","ReEDS-NREL","No IRA",660.072566222611,1,1
2030,"Coal","ReEDS-NREL","IRA",68.2963546692778,1,1
2030,"Coal","NEMS-EIA","No IRA",579.2477036682,1,1
2030,"Coal","NEMS-EIA","IRA",332.20151448001,1,1
2035,"Coal","USREP-ReEDS","No IRA",453.331322249167,1,2
2035,"Coal","USREP-ReEDS","IRA",180.306621228222,1,2
2035,"Coal","EPS-EI","No IRA",386.5403262,1,2
2035,"Coal","EPS-EI","IRA",17.1113555709444,1,2
2035,"Coal","GCAM-CGS","No IRA",648.339356159056,1,2
2035,"Coal","GCAM-CGS","IRA",0.00410713333333333,1,2
2035,"Coal","GCAM-PNNL","No IRA",390.290876111111,1,2
2035,"Coal","GCAM-PNNL","IRA",201.543877888889,1,2
2035,"Coal","Haiku-RFF","No IRA",752.124267054611,1,2
2035,"Coal","Haiku-RFF","IRA",473.853197109444,1,2
2035,"Coal","IPM-NRDC","No IRA",316.186537050222,1,2
2035,"Coal","IPM-NRDC","IRA",135.830610212889,1,2
2035,"Coal","IPM-EPA","No IRA",441.583391535222,1,2
2035,"Coal","IPM-EPA","IRA",42.0638013043889,1,2
2035,"Coal","MARKAL-NETL","No IRA",648.640612809389,1,2
2035,"Coal","MARKAL-NETL","IRA",192.679995684167,1,2
2035,"Coal","NEMS-RHG","No IRA",423.052155477,1,2
2035,"Coal","NEMS-RHG","IRA",194.150501592056,1,2
2035,"Coal","NEMS-OP","No IRA",448.5620275598,1,2
2035,"Coal","NEMS-OP","IRA",137.643555547693,1,2
2035,"Coal","REGEN-EPRI","No IRA",563.456709479222,1,2
2035,"Coal","REGEN-EPRI","IRA",143.110734414278,1,2
2035,"Coal","RIO-REPEAT","No IRA",467.2654,1,2
2035,"Coal","RIO-REPEAT","IRA",222.733,1,2
2035,"Coal","ReEDS-NREL","No IRA",604.572954052278,1,2
2035,"Coal","ReEDS-NREL","IRA",59.1833877285,1,2
2035,"Coal","NEMS-EIA","No IRA",544.58711356,1,2
2035,"Coal","NEMS-EIA","IRA",325.237303926892,1,2
