"year","variable_rename","model","alpha","No IRA","IRA","abs_dif","axe","scenario"
2030,"Coal","USREP-ReEDS",1,568.682194946833,253.728906032778,-314.953288914055,1,"IRA"
2030,"Coal","EPS-EI",1,411.6968338,178.769620305111,-232.927213494889,1,"IRA"
2030,"Coal","GCAM-CGS",1,698.867863430333,207.989475511222,-490.878387919111,1,"IRA"
2030,"Coal","GCAM-PNNL",1,452.911495555556,207.462888888889,-245.448606666667,1,"IRA"
2030,"Coal","Haiku-RFF",1,827.530103486722,532.937344912389,-294.592758574333,1,"IRA"
2030,"Coal","IPM-NRDC",1,342.875199419278,187.9528652995,-154.922334119778,1,"IRA"
2030,"Coal","IPM-EPA",1,525.157043745833,230.114115450722,-295.042928295111,1,"IRA"
2030,"Coal","MARKAL-NETL",1,634.694777862833,487.912033774278,-146.782744088555,1,"IRA"
2030,"Coal","NEMS-RHG",1,459.880959350944,130.405961425056,-329.474997925889,1,"IRA"
2030,"Coal","NEMS-OP",1,511.137479174,280.042654828737,-231.094824345263,1,"IRA"
2030,"Coal","REGEN-EPRI",1,633.371785704,440.402948233111,-192.968837470889,1,"IRA"
2030,"Coal","RIO-REPEAT",1,619.8612,454.944,-164.9172,1,"IRA"
2030,"Coal","ReEDS-NREL",1,660.072566222611,68.2963546692778,-591.776211553333,1,"IRA"
2030,"Coal","NEMS-EIA",1,579.2477036682,332.20151448001,-247.04618918819,1,"IRA"
2035,"Coal","USREP-ReEDS",1,453.331322249167,180.306621228222,-273.024701020944,2,"IRA"
2035,"Coal","EPS-EI",1,386.5403262,17.1113555709444,-369.428970629056,2,"IRA"
2035,"Coal","GCAM-CGS",1,648.339356159056,0.00410713333333333,-648.335249025722,2,"IRA"
2035,"Coal","GCAM-PNNL",1,390.290876111111,201.543877888889,-188.746998222222,2,"IRA"
2035,"Coal","Haiku-RFF",1,752.124267054611,473.853197109444,-278.271069945167,2,"IRA"
2035,"Coal","IPM-NRDC",1,316.186537050222,135.830610212889,-180.355926837333,2,"IRA"
2035,"Coal","IPM-EPA",1,441.583391535222,42.0638013043889,-399.519590230833,2,"IRA"
2035,"Coal","MARKAL-NETL",1,648.640612809389,192.679995684167,-455.960617125222,2,"IRA"
2035,"Coal","NEMS-RHG",1,423.052155477,194.150501592056,-228.901653884944,2,"IRA"
2035,"Coal","NEMS-OP",1,448.5620275598,137.643555547693,-310.918472012107,2,"IRA"
2035,"Coal","REGEN-EPRI",1,563.456709479222,143.110734414278,-420.345975064944,2,"IRA"
2035,"Coal","RIO-REPEAT",1,467.2654,222.733,-244.5324,2,"IRA"
2035,"Coal","ReEDS-NREL",1,604.572954052278,59.1833877285,-545.389566323778,2,"IRA"
2035,"Coal","NEMS-EIA",1,544.58711356,325.237303926892,-219.349809633108,2,"IRA"
