"model","year","variable_rename","alpha","No IRA","IRA","abs_dif","axe","scenario"
"USREP-ReEDS",2030,"Total_Low",1,2174.29772161702,2993.78080012524,819.483078508217,1,"IRA"
"EPS-EI",2030,"Total_Low",1,2130.04534372,3559.63210309894,1429.58675937894,1,"IRA"
"GCAM-CGS",2030,"Total_Low",1,2149.60472294128,3352.79364012017,1203.18891717889,1,"IRA"
"GCAM-PNNL",2030,"Total_Low",1,2888.56912030556,3734.73338695501,846.164266649449,1,"IRA"
"Haiku-RFF",2030,"Total_Low",1,2164.92781580911,2747.05914295089,582.131327141778,1,"IRA"
"IPM-NRDC",2030,"Total_Low",1,1837.3377980475,2267.86998954483,430.532191497334,1,"IRA"
"IPM-EPA",2030,"Total_Low",1,2014.73847553339,2355.22657930894,340.488103775556,1,"IRA"
"MARKAL-NETL",2030,"Total_Low",1,2133.15461267767,2268.18199424717,135.0273815695,1,"IRA"
"NEMS-RHG",2030,"Total_Low",1,2331.20525361189,3105.803827721,774.598574109111,1,"IRA"
"NEMS-OP",2030,"Total_Low",1,2345.2192747648,3080.10840869086,734.889133926064,1,"IRA"
"REGEN-EPRI",2030,"Total_Low",1,2081.07200080041,2286.42341017844,205.351409378034,1,"IRA"
"RIO-REPEAT",2030,"Total_Low",1,2791.271,3582.684,791.413,1,"IRA"
"ReEDS-NREL",2030,"Total_Low",1,2137.62207034717,3393.83268322389,1256.21061287672,1,"IRA"
"NEMS-EIA",2030,"Total_Low",1,2176.4560710732,2858.19946565839,681.74339458519,1,"IRA"
"USREP-ReEDS",2035,"Total_Low",1,2308.87802255319,3323.01947813019,1014.14145557699,2,"IRA"
"EPS-EI",2035,"Total_Low",1,2414.2100955,4339.710256798,1925.500161298,2,"IRA"
"GCAM-CGS",2035,"Total_Low",1,2298.75128154622,3759.60543636961,1460.85415482339,2,"IRA"
"GCAM-PNNL",2035,"Total_Low",1,3486.96896897222,4479.12318818778,992.154219215562,2,"IRA"
"Haiku-RFF",2035,"Total_Low",1,2286.84102428561,2857.27770708256,570.436682796944,2,"IRA"
"IPM-NRDC",2035,"Total_Low",1,1858.86661431139,2443.98446662494,585.117852313556,2,"IRA"
"IPM-EPA",2035,"Total_Low",1,2293.4091208455,3237.34662443344,943.937503587944,2,"IRA"
"MARKAL-NETL",2035,"Total_Low",1,2169.55279467928,3380.71052465261,1211.15772997333,2,"IRA"
"NEMS-RHG",2035,"Total_Low",1,2604.41764009506,3164.295702939,559.878062843944,2,"IRA"
"NEMS-OP",2035,"Total_Low",1,2663.9826475934,3737.49486544391,1073.51221785051,2,"IRA"
"REGEN-EPRI",2035,"Total_Low",1,2162.26429020142,3325.21670143406,1162.95241123264,2,"IRA"
"RIO-REPEAT",2035,"Total_Low",1,3573.206,5270.7158,1697.5098,2,"IRA"
"ReEDS-NREL",2035,"Total_Low",1,2356.90161229522,3947.80472229733,1590.90311000211,2,"IRA"
"NEMS-EIA",2035,"Total_Low",1,2458.455740566,3170.11325737711,711.657516811108,2,"IRA"
