"model","year","variable_rename","alpha","No IRA","IRA","abs_dif","axe","scenario"
"USREP-ReEDS",2030,"Total",1,4028.68737129835,4063.15413831613,34.4667670177732,1,"IRA"
"EPS-EI",2030,"Total",1,4227.86700392,4693.33391840406,465.466914484055,1,"IRA"
"GCAM-CGS",2030,"Total",1,4354.25720440744,4738.21573999394,383.9585355865,1,"IRA"
"GCAM-PNNL",2030,"Total",1,5124.84161330556,5298.07651546612,173.234902160561,1,"IRA"
"Haiku-RFF",2030,"Total",1,3949.6628028445,3955.67607545056,6.01327260605558,1,"IRA"
"IPM-NRDC",2030,"Total",1,4020.45690327867,4019.655607884,-0.80129539466634,1,"IRA"
"IPM-EPA",2030,"Total",1,4237.57332025183,4248.08454862517,10.5112283733333,1,"IRA"
"MARKAL-NETL",2030,"Total",1,4560.7487965445,4671.87843500583,111.129638461333,1,"IRA"
"NEMS-RHG",2030,"Total",1,3985.18402131189,4014.53117658911,29.3471552772226,1,"IRA"
"NEMS-OP",2030,"Total",1,4244.4113296634,4343.8219961234,99.4106664600004,1,"IRA"
"REGEN-EPRI",2030,"Total",1,3843.95158049086,3980.41267526739,136.461094776533,1,"IRA"
"RIO-REPEAT",2030,"Total",1,4332.3938,4802.5026,470.1088,1,"IRA"
"ReEDS-NREL",2030,"Total",1,4032.85149976644,4155.72111532006,122.86961555361,1,"IRA"
"NEMS-EIA",2030,"Total",1,4252.3706308636,4290.3096526416,37.9390217780001,1,"IRA"
"USREP-ReEDS",2035,"Total",1,4166.38233812336,4201.45467325991,35.0723351365505,2,"IRA"
"EPS-EI",2035,"Total",1,4533.4074891,5031.97462096894,498.567131868945,2,"IRA"
"GCAM-CGS",2035,"Total",1,4699.26690919078,4888.55983994972,189.292930758945,2,"IRA"
"GCAM-PNNL",2035,"Total",1,5688.07381687222,5895.96384391556,207.89002704334,2,"IRA"
"Haiku-RFF",2035,"Total",1,3952.67170425789,3963.42936642333,10.7576621654443,2,"IRA"
"IPM-NRDC",2035,"Total",1,4125.22387345833,4147.47471744356,22.2508439852218,2,"IRA"
"IPM-EPA",2035,"Total",1,4519.54659440978,4550.86557255283,31.3189781430556,2,"IRA"
"MARKAL-NETL",2035,"Total",1,4731.32660514461,4926.04173963067,194.715134486056,2,"IRA"
"NEMS-RHG",2035,"Total",1,4150.510055895,4256.15387876894,105.643822873944,2,"IRA"
"NEMS-OP",2035,"Total",1,4472.569742536,4651.76083897,179.191096434,2,"IRA"
"REGEN-EPRI",2035,"Total",1,4020.19034807431,4294.715565392,274.525217317691,2,"IRA"
"RIO-REPEAT",2035,"Total",1,4834.7278,5913.3242,1078.5964,2,"IRA"
"ReEDS-NREL",2035,"Total",1,4189.46564266922,4497.1074386245,307.641795955278,2,"IRA"
"NEMS-EIA",2035,"Total",1,4432.1335843232,4486.5117668,54.3781824768002,2,"IRA"
