"","Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
"1",2005,"Baseline",6132.18,NA,NA,NA
"2",2030,"No IRA Min",4093.64,33.24,NA,NA
"3",2030,"No IRA Median",4249.53,30.7,NA,NA
"4",2030,"No IRA Max",4515.63,26.36,NA,NA
"5",2030,"IRA Min",3493.68,43.03,4.62,599.95
"6",2030,"IRA Median",3712.21,39.46,11.35,537.32
"7",2030,"IRA Max",4007.49,34.65,21.71,508.14
"8",2035,"No IRA Min",3710,39.5,NA,NA
"9",2035,"No IRA Median",4091.65,33.28,NA,NA
"10",2035,"No IRA Max",4358.33,28.93,NA,NA
"11",2035,"IRA Min",2763,54.94,9.58,947
"12",2035,"IRA Median",3287.62,46.39,18.5,804.03
"13",2035,"IRA Max",3904.68,36.32,25.65,453.66
