"","Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
"1",2005,"Baseline",2245,NA,NA,NA
"2",2030,"No IRA Min",1180.6,47.41,NA,NA
"3",2030,"No IRA Median",1307.27,41.77,NA,NA
"4",2030,"No IRA Max",1479.31,34.11,NA,NA
"5",2030,"IRA Min",826.83,63.17,9.21,353.77
"6",2030,"IRA Median",1018.02,54.65,22.98,289.25
"7",2030,"IRA Max",1140.93,49.18,37.48,338.37
"8",2035,"No IRA Min",1104.58,50.8,NA,NA
"9",2035,"No IRA Median",1237.78,44.87,NA,NA
"10",2035,"No IRA Max",1428.96,36.35,NA,NA
"11",2035,"IRA Min",666.18,70.33,20.1,438.4
"12",2035,"IRA Median",769.04,65.74,33.29,468.74
"13",2035,"IRA Max",1077.2,52.02,47.31,351.76
