"","Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
"1",2005,"Baseline",1863.3,NA,NA,NA
"2",2030,"No IRA Min",1462.175,21.528,NA,NA
"3",2030,"No IRA Median",1578.411,15.289,NA,NA
"4",2030,"No IRA Max",1701.326,8.693,NA,NA
"5",2030,"IRA Min",1396.931,25.029,4.462,65.244
"6",2030,"IRA Median",1538.872,17.411,2.505,39.539
"7",2030,"IRA Max",1657.055,11.069,2.602,44.271
"8",2035,"No IRA Min",1338.942,28.141,NA,NA
"9",2035,"No IRA Median",1438.259,22.811,NA,NA
"10",2035,"No IRA Max",1615.413,13.304,NA,NA
"11",2035,"IRA Min",1204.932,35.333,10.009,134.01
"12",2035,"IRA Median",1366.183,26.679,5.011,72.076
"13",2035,"IRA Max",1592.773,14.519,1.402,22.64
