"","Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
"1",2005,"Baseline",1863.3,NA,NA,NA
"2",2030,"No IRA Min",1462.18,21.53,NA,NA
"3",2030,"No IRA Median",1578.41,15.29,NA,NA
"4",2030,"No IRA Max",1701.33,8.69,NA,NA
"5",2030,"IRA Min",1396.93,25.03,0.9,65.24
"6",2030,"IRA Median",1538.87,17.41,2.34,39.54
"7",2030,"IRA Max",1657.05,11.07,7.16,44.27
"8",2035,"No IRA Min",1338.94,28.14,NA,NA
"9",2035,"No IRA Median",1438.26,22.81,NA,NA
"10",2035,"No IRA Max",1615.41,13.3,NA,NA
"11",2035,"IRA Min",1204.93,35.33,1.4,134.01
"12",2035,"IRA Median",1366.18,26.68,5.88,72.08
"13",2035,"IRA Max",1592.77,14.52,16.68,22.64
