"","Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
"1",2005,"Baseline",22.8,NA,NA,NA
"2",2030,"No IRA Min",5.74,74.8,NA,NA
"3",2030,"No IRA Median",6.94,69.54,NA,NA
"4",2030,"No IRA Max",13.7,39.9,NA,NA
"5",2030,"IRA Min",2.35,89.69,-23.2,3.39
"6",2030,"IRA Median",3.93,82.78,37.95,3.02
"7",2030,"IRA Max",16.88,25.96,59.57,-3.18
"8",2035,"No IRA Min",5.11,77.6,NA,NA
"9",2035,"No IRA Median",6.17,72.95,NA,NA
"10",2035,"No IRA Max",12.96,43.13,NA,NA
"11",2035,"IRA Min",1.18,94.81,-45.46,3.92
"12",2035,"IRA Median",2.98,86.92,44.82,3.18
"13",2035,"IRA Max",18.86,17.28,81.83,-5.89
