"","Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
"1",2005,"Baseline",40.22,NA,NA,NA
"2",2030,"No IRA Min",27.63,31.3,NA,NA
"3",2030,"No IRA Median",33.08,17.74,NA,NA
"4",2030,"No IRA Max",35.93,10.66,NA,NA
"5",2030,"IRA Min",26.73,33.53,0.09,0.9
"6",2030,"IRA Median",32.76,18.53,1.06,0.32
"7",2030,"IRA Max",35.9,10.74,11.17,0.03
"8",2035,"No IRA Min",24.66,38.69,NA,NA
"9",2035,"No IRA Median",31.72,21.12,NA,NA
"10",2035,"No IRA Max",35.48,11.78,NA,NA
"11",2035,"IRA Min",23.43,41.73,0.09,1.22
"12",2035,"IRA Median",30.49,24.19,2.72,1.24
"13",2035,"IRA Max",35.45,11.86,4.96,0.03
