"","Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
"1",2005,"Baseline",4.7,NA,NA,NA
"2",2030,"No IRA Min",15.21,-223.7,NA,NA
"3",2030,"No IRA Median",46.92,-898.4,NA,NA
"4",2030,"No IRA Max",104.65,-2126.62,NA,NA
"5",2030,"IRA Min",12.18,-159.13,-10.88,3.03
"6",2030,"IRA Median",38.67,-722.87,0.86,8.25
"7",2030,"IRA Max",112.42,-2291.94,44.79,-7.77
"8",2035,"No IRA Min",22.21,-372.66,NA,NA
"9",2035,"No IRA Median",79.05,-1582.02,NA,NA
"10",2035,"No IRA Max",108.08,-2199.62,NA,NA
"11",2035,"IRA Min",17.84,-279.64,-7.13,4.37
"12",2035,"IRA Median",40.91,-770.49,34.76,38.14
"13",2035,"IRA Max",87.2,-1755.35,67.1,20.88
