"","Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
"1",2005,"Baseline",586,NA,NA,NA
"2",2030,"No IRA Min",278.08,52.55,NA,NA
"3",2030,"No IRA Median",545.58,6.9,NA,NA
"4",2030,"No IRA Max",638,-8.87,NA,NA
"5",2030,"IRA Min",259.2,55.77,-1.17,18.88
"6",2030,"IRA Median",508.54,13.22,5.29,37.04
"7",2030,"IRA Max",590,-0.68,14.75,48
"8",2035,"No IRA Min",274.45,53.17,NA,NA
"9",2035,"No IRA Median",527.47,9.99,NA,NA
"10",2035,"No IRA Max",630,-7.51,NA,NA
"11",2035,"IRA Min",249.28,57.46,-1.75,25.17
"12",2035,"IRA Median",490.25,16.34,6.2,37.22
"13",2035,"IRA Max",568.56,2.98,15.71,61.44
