"","Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
"1",2005,"Baseline",1659,NA,NA,NA
"2",2030,"No IRA Min",664.08,59.97,NA,NA
"3",2030,"No IRA Median",783.06,52.8,NA,NA
"4",2030,"No IRA Max",945.77,42.99,NA,NA
"5",2030,"IRA Min",344.61,79.23,12.67,319.47
"6",2030,"IRA Median",455.18,72.56,43.66,327.88
"7",2030,"IRA Max",579.93,65.04,53.03,365.84
"8",2035,"No IRA Min",503.38,69.66,NA,NA
"9",2035,"No IRA Median",703.01,57.62,NA,NA
"10",2035,"No IRA Max",924.92,44.25,NA,NA
"11",2035,"IRA Min",211.4,87.26,35,291.98
"12",2035,"IRA Median",287.98,82.64,55.64,415.03
"13",2035,"IRA Max",508.64,69.34,73.83,416.28
