"","Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
"1",2005,"Baseline",850.8,NA,NA,NA
"2",2030,"No IRA Min",790.96,7.03,NA,NA
"3",2030,"No IRA Median",906.61,-6.56,NA,NA
"4",2030,"No IRA Max",1208.99,-42.1,NA,NA
"5",2030,"IRA Min",737,13.38,0.13,53.96
"6",2030,"IRA Median",858.91,-0.95,2.96,47.7
"7",2030,"IRA Max",1076.13,-26.48,15.98,132.86
"8",2035,"No IRA Min",774.28,8.99,NA,NA
"9",2035,"No IRA Median",885.96,-4.13,NA,NA
"10",2035,"No IRA Max",1222.12,-43.64,NA,NA
"11",2035,"IRA Min",611,28.19,0.14,163.28
"12",2035,"IRA Median",838.41,1.46,4.95,47.56
"13",2035,"IRA Max",1074.38,-26.28,27.86,147.74
