"","Year","Scenario","Absolute Level (TWh)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (TWh)"
"1",2005,"Baseline",1888.069,NA,NA,NA
"2",2021,"No IRA Min",904.146,52.113,NA,NA
"3",2021,"No IRA Median",904.146,52.113,NA,NA
"4",2021,"No IRA Max",904.146,52.113,NA,NA
"5",2021,"IRA Min",850.978,54.929,5.881,53.169
"6",2021,"IRA Median",877.562,53.521,2.94,26.584
"7",2021,"IRA Max",904.146,52.113,0,0
"8",2030,"No IRA Min",342.875,81.84,NA,NA
"9",2030,"No IRA Median",573.965,69.6,NA,NA
"10",2030,"No IRA Max",827.53,56.171,NA,NA
"11",2030,"IRA Min",68.296,96.383,80.081,274.579
"12",2030,"IRA Median",241.922,87.187,57.851,332.043
"13",2030,"IRA Max",532.937,71.773,35.599,294.593
"14",2035,"No IRA Min",316.187,83.253,NA,NA
"15",2035,"No IRA Median",460.298,75.621,NA,NA
"16",2035,"No IRA Max",752.124,60.164,NA,NA
"17",2035,"IRA Min",0.004,100,99.999,316.182
"18",2035,"IRA Median",161.709,91.435,64.869,298.59
"19",2035,"IRA Max",473.853,74.903,36.998,278.271
