"","Year","Scenario","Absolute Level (TWh)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (TWh)"
"1",2005,"Baseline",0.522,NA,NA,NA
"2",2021,"No IRA Min",155.707,-29753.521,NA,NA
"3",2021,"No IRA Median",155.707,-29753.521,NA,NA
"4",2021,"No IRA Max",155.707,-29753.521,NA,NA
"5",2021,"IRA Min",155.687,-29749.769,0.013,0.02
"6",2021,"IRA Median",161.161,-30799.22,-3.503,-5.454
"7",2021,"IRA Max",166.634,-31848.67,-7.018,-10.928
"8",2030,"No IRA Min",315.67,-60423.263,NA,NA
"9",2030,"No IRA Median",509.317,-97551.018,NA,NA
"10",2030,"No IRA Max",735.487,-140914.51,NA,NA
"11",2030,"IRA Min",350.364,-67075.049,-10.99,-34.694
"12",2030,"IRA Median",826.236,-158313.578,-62.224,-316.918
"13",2030,"IRA Max",1105.416,-211840.597,-50.297,-369.928
"14",2035,"No IRA Min",510.083,-97697.801,NA,NA
"15",2035,"No IRA Median",656.738,-125816.005,NA,NA
"16",2035,"No IRA Max",1217.923,-233411.541,NA,NA
"17",2035,"IRA Min",471.82,-90361.817,7.501,38.262
"18",2035,"IRA Median",1036.119,-198554.433,-57.767,-379.381
"19",2035,"IRA Max",2009.336,-385148.613,-64.981,-791.413
