"","Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
"1",2005,"Baseline",3732.08,NA,NA,NA
"2",2030,"No IRA Min",2791.61,25.2,NA,NA
"3",2030,"No IRA Median",3207.86,14.05,NA,NA
"4",2030,"No IRA Max",3289.57,11.86,NA,NA
"5",2030,"IRA Min",2745.92,26.42,0.61,45.69
"6",2030,"IRA Median",2971.36,20.38,2.91,236.5
"7",2030,"IRA Max",3248.6,12.95,11.89,40.96
"8",2035,"No IRA Min",2605.11,30.2,NA,NA
"9",2035,"No IRA Median",3008.71,19.38,NA,NA
"10",2035,"No IRA Max",3218.04,13.77,NA,NA
"11",2035,"IRA Min",2393,35.88,0.85,212.11
"12",2035,"IRA Median",2781.61,25.47,5.52,227.1
"13",2035,"IRA Max",3190.67,14.51,18.47,27.37
