"","Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
"1",2005,"Baseline",4.7,NA,NA,NA
"2",2030,"No IRA Min",15.214,-223.701,NA,NA
"3",2030,"No IRA Median",37.652,-701.117,NA,NA
"4",2030,"No IRA Max",65.081,-1284.711,NA,NA
"5",2030,"IRA Min",12.179,-159.129,19.948,3.035
"6",2030,"IRA Median",36.178,-669.743,3.916,1.475
"7",2030,"IRA Max",69.979,-1388.92,-7.526,-4.898
"8",2035,"No IRA Min",22.215,-372.656,NA,NA
"9",2035,"No IRA Median",63.136,-1243.316,NA,NA
"10",2035,"No IRA Max",104.938,-2132.722,NA,NA
"11",2035,"IRA Min",17.843,-279.644,19.679,4.372
"12",2035,"IRA Median",37.664,-701.37,40.344,25.471
"13",2035,"IRA Max",63.932,-1260.255,39.076,41.006
