"","Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
"1",2005,"Baseline",586,NA,NA,NA
"2",2030,"No IRA Min",436.606,25.494,NA,NA
"3",2030,"No IRA Median",563.743,3.798,NA,NA
"4",2030,"No IRA Max",638,-8.874,NA,NA
"5",2030,"IRA Min",388.893,33.636,10.928,47.713
"6",2030,"IRA Median",540.743,7.723,4.08,23
"7",2030,"IRA Max",590,-0.683,7.524,48
"8",2035,"No IRA Min",382.16,34.785,NA,NA
"9",2035,"No IRA Median",557.022,4.945,NA,NA
"10",2035,"No IRA Max",630,-7.509,NA,NA
"11",2035,"IRA Min",329.967,43.692,13.657,52.193
"12",2035,"IRA Median",521.477,11.011,6.381,35.545
"13",2035,"IRA Max",568.562,2.976,9.752,61.438
