"","Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
"1",2005,"Baseline",736.3,NA,NA,NA
"2",2030,"No IRA Min",236.432,67.889,NA,NA
"3",2030,"No IRA Median",278.453,62.182,NA,NA
"4",2030,"No IRA Max",397.465,46.019,NA,NA
"5",2030,"IRA Min",122.272,83.394,48.284,114.16
"6",2030,"IRA Median",169.813,76.937,39.016,108.64
"7",2030,"IRA Max",349.758,52.498,12.003,47.707
"8",2035,"No IRA Min",173.488,76.438,NA,NA
"9",2035,"No IRA Median",244.929,66.735,NA,NA
"10",2035,"No IRA Max",393.185,46.6,NA,NA
"11",2035,"IRA Min",72.966,90.09,57.942,100.522
"12",2035,"IRA Median",110.995,84.925,54.683,133.933
"13",2035,"IRA Max",180.273,75.516,54.15,212.911
