"","Year","Scenario","Absolute Level (TWh)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (TWh)"
"1",2005,"Baseline",1029.397,NA,NA,NA
"2",2021,"No IRA Min",1550.366,-50.609,NA,NA
"3",2021,"No IRA Median",1550.366,-50.609,NA,NA
"4",2021,"No IRA Max",1550.366,-50.609,NA,NA
"5",2021,"IRA Min",1550.094,-50.583,0.018,0.272
"6",2021,"IRA Median",1550.379,-50.61,-0.001,-0.013
"7",2021,"IRA Max",1550.665,-50.638,-0.019,-0.299
"8",2030,"No IRA Min",1837.338,-78.487,NA,NA
"9",2030,"No IRA Median",2157.266,-109.566,NA,NA
"10",2030,"No IRA Max",2888.569,-180.608,NA,NA
"11",2030,"IRA Min",2267.87,-120.311,-23.432,-430.532
"12",2030,"IRA Median",3049.792,-196.27,-41.373,-892.526
"13",2030,"IRA Max",3734.733,-262.808,-29.294,-846.164
"14",2035,"No IRA Min",1858.867,-80.578,NA,NA
"15",2035,"No IRA Median",2332.89,-126.627,NA,NA
"16",2035,"No IRA Max",3573.206,-247.116,NA,NA
"17",2035,"IRA Min",2443.984,-137.419,-31.477,-585.118
"18",2035,"IRA Median",3352.964,-225.721,-43.726,-1020.074
"19",2035,"IRA Max",5270.716,-412.02,-47.507,-1697.51
