"","Year","Scenario","Absolute Level (TWh)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (TWh)"
"1",2005,"Baseline",16.881,NA,NA,NA
"2",2021,"No IRA Min",357.942,-2020.402,NA,NA
"3",2021,"No IRA Median",357.942,-2020.402,NA,NA
"4",2021,"No IRA Max",357.942,-2020.402,NA,NA
"5",2021,"IRA Min",357.925,-2020.301,0.005,0.017
"6",2021,"IRA Median",358.424,-2023.26,-0.135,-0.482
"7",2021,"IRA Max",358.924,-2026.219,-0.274,-0.982
"8",2030,"No IRA Min",546.373,-3136.646,NA,NA
"9",2030,"No IRA Median",662.742,-3826,NA,NA
"10",2030,"No IRA Max",1159.39,-6768.083,NA,NA
"11",2030,"IRA Min",570.726,-3280.911,-4.457,-24.353
"12",2030,"IRA Median",1083.153,-6316.463,-63.435,-420.411
"13",2030,"IRA Max",1646.329,-9652.647,-42,-486.939
"14",2035,"No IRA Min",585.684,-3369.518,NA,NA
"15",2035,"No IRA Median",781.726,-4530.85,NA,NA
"16",2035,"No IRA Max",1517.453,-8889.204,NA,NA
"17",2035,"IRA Min",570.726,-3280.911,2.554,14.958
"18",2035,"IRA Median",1351.352,-7905.241,-72.868,-569.625
"19",2035,"IRA Max",2443.399,-14374.393,-61.02,-925.946
