"Year","Scenario","Absolute Level (TWh)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (TWh)"
2005,"Baseline",2792.365,NA,NA,NA
2021,"No IRA Min",2529.112,9.428,NA,NA
2021,"No IRA Median",2529.112,9.428,NA,NA
2021,"No IRA Max",2529.112,9.428,NA,NA
2021,"IRA Min",2529.194,9.425,-0.003,-0.083
2021,"IRA Median",2529.194,9.425,-0.003,-0.083
2021,"IRA Max",2529.194,9.425,-0.003,-0.083
2030,"No IRA Min",1626,41.77,NA,NA
2030,"No IRA Median",1999.609,28.39,NA,NA
2030,"No IRA Max",2764.32,1.004,NA,NA
2030,"IRA Min",730.483,73.84,55.075,895.517
2030,"IRA Median",1382.237,50.499,30.875,617.372
2030,"IRA Max",2536.08,9.178,8.257,228.24
2035,"No IRA Min",1331,52.334,NA,NA
2035,"No IRA Median",1960.251,29.8,NA,NA
2035,"No IRA Max",2918.845,-4.529,NA,NA
2035,"IRA Min",579.556,79.245,56.457,751.444
2035,"IRA Median",1151.992,58.745,41.232,808.259
2035,"IRA Max",1797.31,35.635,38.424,1121.535
