"Year","Scenario","Absolute Level (TWh)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (TWh)"
2005,"Baseline",3676,NA,NA,NA
2021,"No IRA Min",3948.085,-7.402,NA,NA
2021,"No IRA Median",3948.085,-7.402,NA,NA
2021,"No IRA Max",3948.085,-7.402,NA,NA
2021,"IRA Min",3921.155,-6.669,0.682,26.93
2021,"IRA Median",3934.664,-7.037,0.34,13.421
2021,"IRA Max",3948.174,-7.404,-0.002,-0.089
2030,"No IRA Min",3843.952,-4.569,NA,NA
2030,"No IRA Median",4232.72,-15.145,NA,NA
2030,"No IRA Max",5124.842,-39.414,NA,NA
2030,"IRA Min",3955.676,-7.608,-2.907,-111.724
2030,"IRA Median",4269.197,-16.137,-0.862,-36.477
2030,"IRA Max",5298.077,-44.126,-3.38,-173.235
2035,"No IRA Min",3952.672,-7.526,NA,NA
2035,"No IRA Median",4452.352,-21.119,NA,NA
2035,"No IRA Max",5688.074,-54.735,NA,NA
2035,"IRA Min",3963.429,-7.819,-0.272,-10.758
2035,"IRA Median",4523.987,-23.068,-1.609,-71.635
2035,"IRA Max",5913.324,-60.863,-3.96,-225.25
