"Scenario","Absolute Level (Mt CO2)","Year","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
"No IRA Min",19.064,2030,NA,NA,NA
"No IRA Median",125.034,2030,NA,NA,NA
"No IRA Max",295.721,2030,NA,NA,NA
"IRA Min",19.064,2030,NA,0,0
"IRA Median",164.164,2030,NA,-31.295,-39.13
"IRA Max",376.982,2030,NA,-27.479,-81.261
"No IRA Min",32.768,2035,NA,NA,NA
"No IRA Median",252.006,2035,NA,NA,NA
"No IRA Max",472.952,2035,NA,NA,NA
"IRA Min",32.768,2035,NA,0,0
"IRA Median",283.787,2035,NA,-12.612,-31.782
"IRA Max",607.54,2035,NA,-28.457,-134.588
