"Year","Scenario","Absolute Level (TWh)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (TWh)"
2005,"Baseline",1086.091,NA,NA,NA
2021,"No IRA Min",1635.658,-50.601,NA,NA
2021,"No IRA Median",1635.658,-50.601,NA,NA
2021,"No IRA Max",1635.658,-50.601,NA,NA
2021,"IRA Min",1635.58,-50.593,0.005,0.079
2021,"IRA Median",1635.58,-50.593,0.005,0.079
2021,"IRA Max",1635.58,-50.593,0.005,0.079
2030,"No IRA Min",1938.529,-78.487,NA,NA
2030,"No IRA Median",2267.994,-108.822,NA,NA
2030,"No IRA Max",3003.379,-176.531,NA,NA
2030,"IRA Min",2392.773,-120.311,-23.432,-454.244
2030,"IRA Median",3276.856,-201.711,-44.483,-1008.862
2030,"IRA Max",4455.361,-310.22,-48.345,-1451.982
2035,"No IRA Min",1961.244,-80.578,NA,NA
2035,"No IRA Median",2436.039,-124.294,NA,NA
2035,"No IRA Max",3770,-247.116,NA,NA
2035,"IRA Min",2578.587,-137.419,-31.477,-617.343
2035,"IRA Median",3930.019,-261.85,-61.328,-1493.98
2035,"IRA Max",5561,-412.02,-47.507,-1791
