"Year","Scenario","Absolute Level (TWh)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (TWh)"
2005,"Baseline",741.167,NA,NA,NA
2021,"No IRA Min",737.087,0.55,NA,NA
2021,"No IRA Median",737.087,0.55,NA,NA
2021,"No IRA Max",737.087,0.55,NA,NA
2021,"IRA Min",737.087,0.55,0,0
2021,"IRA Median",737.327,0.518,-0.033,-0.24
2021,"IRA Max",737.567,0.486,-0.065,-0.479
2030,"No IRA Min",482.944,34.84,NA,NA
2030,"No IRA Median",722.694,2.492,NA,NA
2030,"No IRA Max",755.887,-1.986,NA,NA
2030,"IRA Min",642.561,13.304,-33.051,-159.617
2030,"IRA Median",716.954,3.267,0.794,5.74
2030,"IRA Max",760.413,-2.597,-0.599,-4.526
2035,"No IRA Min",64.304,91.324,NA,NA
2035,"No IRA Median",715.444,3.471,NA,NA
2035,"No IRA Max",755.887,-1.986,NA,NA
2035,"IRA Min",39.272,94.701,38.929,25.033
2035,"IRA Median",676.962,8.663,5.379,38.482
2035,"IRA Max",755.887,-1.986,0,0
