"Year","Scenario","Absolute Level (TWh)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (TWh)"
2005,"Baseline",0.522,NA,NA,NA
2021,"No IRA Min",155.678,-29748.006,NA,NA
2021,"No IRA Median",155.678,-29748.006,NA,NA
2021,"No IRA Max",155.678,-29748.006,NA,NA
2021,"IRA Min",155.686,-29749.506,-0.005,-0.008
2021,"IRA Median",161.16,-30799.088,-3.521,-5.482
2021,"IRA Max",166.634,-31848.67,-7.038,-10.956
2030,"No IRA Min",315.67,-60423.263,NA,NA
2030,"No IRA Median",509.317,-97551.018,NA,NA
2030,"No IRA Max",717.179,-137404.29,NA,NA
2030,"IRA Min",350.364,-67075.049,-10.99,-34.694
2030,"IRA Median",885.999,-169771.954,-73.958,-376.682
2030,"IRA Max",1128.644,-216294.093,-57.373,-411.464
2035,"No IRA Min",510.083,-97697.801,NA,NA
2035,"No IRA Median",656.738,-125816.005,NA,NA
2035,"No IRA Max",1217.923,-233411.541,NA,NA
2035,"IRA Min",471.82,-90361.817,7.501,38.262
2035,"IRA Median",1088.149,-208530.125,-65.69,-431.411
2035,"IRA Max",2012.179,-385693.776,-65.214,-794.256
