"Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
2005,"Baseline",2245,NA,NA,NA
2030,"No IRA Min",1180.601,47.412,NA,NA
2030,"No IRA Median",1293.686,42.375,NA,NA
2030,"No IRA Max",1479.306,34.107,NA,NA
2030,"IRA Min",638.205,71.572,45.942,542.396
2030,"IRA Median",924.91,58.801,28.506,368.775
2030,"IRA Max",1091.909,51.363,26.188,387.397
2035,"No IRA Min",1104.582,50.798,NA,NA
2035,"No IRA Median",1210.878,46.063,NA,NA
2035,"No IRA Max",1428.959,36.349,NA,NA
2035,"IRA Min",549.077,75.542,50.291,555.505
2035,"IRA Median",752.929,66.462,37.82,457.949
2035,"IRA Max",967.475,56.905,32.295,461.484
