"Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
2005,"Baseline",1863.3,NA,NA,NA
2030,"No IRA Min",1462.175,21.528,NA,NA
2030,"No IRA Median",1564.428,16.04,NA,NA
2030,"No IRA Max",1701.13,8.703,NA,NA
2030,"IRA Min",1396.931,25.029,4.462,65.244
2030,"IRA Median",1538.872,17.411,1.634,25.556
2030,"IRA Max",1634.299,12.29,3.929,66.831
2035,"No IRA Min",1338.942,28.141,NA,NA
2035,"No IRA Median",1434.777,22.998,NA,NA
2035,"No IRA Max",1610.457,13.57,NA,NA
2035,"IRA Min",1204.932,35.333,10.009,134.01
2035,"IRA Median",1343.51,27.896,6.361,91.267
2035,"IRA Max",1450.618,22.148,9.925,159.838
