"Year","Scenario","Absolute Level (TWh)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (TWh)"
2005,"Baseline",16.881,NA,NA,NA
2021,"No IRA Min",357.925,-2020.304,NA,NA
2021,"No IRA Median",357.925,-2020.304,NA,NA
2021,"No IRA Max",357.925,-2020.304,NA,NA
2021,"IRA Min",357.925,-2020.301,0,0
2021,"IRA Median",358.424,-2023.26,-0.139,-0.499
2021,"IRA Max",358.924,-2026.219,-0.279,-0.999
2030,"No IRA Min",546.373,-3136.646,NA,NA
2030,"No IRA Median",662.742,-3826,NA,NA
2030,"No IRA Max",1124.584,-6561.895,NA,NA
2030,"IRA Min",570.726,-3280.911,-4.457,-24.353
2030,"IRA Median",1083.153,-6316.463,-63.435,-420.411
2030,"IRA Max",1852.254,-10872.525,-64.706,-727.671
2035,"No IRA Min",585.684,-3369.518,NA,NA
2035,"No IRA Median",781.726,-4530.85,NA,NA
2035,"No IRA Max",1439.814,-8429.278,NA,NA
2035,"IRA Min",570.726,-3280.911,2.554,14.958
2035,"IRA Median",1351.352,-7905.241,-72.868,-569.625
2035,"IRA Max",2443.399,-14374.393,-69.702,-1003.585
