fig_subject,fig_type
benchmark,scatter
benchmark,stackbar
bsg,diffbar
bsg,stackbar
bsg,timeseries
elc,scatter
elc,stackbar
elc,diffbar
elc,timeseries
elc,corrplot
h2,cone
h2,scatter
h2,stackbar
isg,cone
isg,diffbar
isg,scatter
isg,stackbar
isg,timeseries
op,band
op,cone
op,timeseries
op,stackbar
op,diffbar
op,scatter
overview,cone
overview,diffbar
overview,ref_stackbar
overview,sankey
overview,scatter
overview,stackbar
overview,timeseries
prez,cone
prez,diffbar
prez,scatter
prez,stackbar
prez,timeseries
price,timeseries
tsg,diffbar
tsg,stackbar
tsg,timeseries
usrr,scatter
usrr,stackbar
usrr,timeseries
